time,open,high,low,close,vol,date
1603497600000,3.8,3.882,3.707,3.774,245384.147,2020-10-24
1603584000000,3.775,3.784,3.555,3.655,351657.661,2020-10-25
1603670400000,3.66,3.73,3.45,3.543,570338.183,2020-10-26
1603756800000,3.537,3.694,3.45,3.551,460280.152,2020-10-27
1603843200000,3.56,3.849,3.339,3.591,909679.997,2020-10-28
1603929600000,3.597,3.795,3.227,3.24,771755.185,2020-10-29
1604016000000,3.236,3.249,2.935,3.102,1023138.758,2020-10-30
1604102400000,3.105,3.14,3.009,3.017,226084.554,2020-10-31
1604188800000,3.014,3.036,2.718,2.904,703209.24,2020-11-01
1604275200000,2.906,3.008,2.61,2.612,693942.055,2020-11-02
1604361600000,2.62,2.62,2.47,2.571,481063.543,2020-11-03
1604448000000,2.576,2.768,2.471,2.727,489714.081,2020-11-04
1604534400000,2.729,3.29,2.547,3.161,1621875.447,2020-11-05
1604620800000,3.163,3.7,3.147,3.535,2183386.752,2020-11-06
1604707200000,3.536,4.68,3.525,3.761,3145744.428,2020-11-07
1604793600000,3.763,4.555,3.7,4.409,2183652.304,2020-11-08
1604880000000,4.411,4.598,3.956,4.243,1772084.974,2020-11-09
1604966400000,4.241,4.94,4.117,4.672,1528016.363,2020-11-10
1605052800000,4.67,4.773,3.982,3.997,1149973.002,2020-11-11
1605139200000,3.997,4.271,3.712,3.762,1320927.75,2020-11-12
1605225600000,3.762,4.463,3.751,4.222,1844935.776,2020-11-13
1605312000000,4.222,4.5,3.86,4.31,1523228.758,2020-11-14
1605398400000,4.313,4.579,3.956,4.125,1930288.301,2020-11-15
1605484800000,4.137,4.57,4.065,4.423,1212076.16,2020-11-16
1605571200000,4.426,5.423,4.415,5.074,2305541.753,2020-11-17
1605657600000,5.081,5.19,4.464,4.875,1667268.972,2020-11-18
1605744000000,4.872,5.265,4.56,4.992,1514198.089,2020-11-19
1605830400000,4.99,5.7,4.785,5.13,1980266.006,2020-11-20
1605916800000,5.137,5.589,5.069,5.255,1081983.352,2020-11-21
1606003200000,5.254,5.34,4.617,5.002,1494824.27,2020-11-22
1606089600000,5.003,5.56,4.942,5.452,1129884.16,2020-11-23
1606176000000,5.451,5.83,5.1,5.239,1353258.655,2020-11-24
1606262400000,5.239,5.362,4.565,4.823,1239580.389,2020-11-25
1606348800000,4.824,4.849,3.385,4.334,4172683.022,2020-11-26
1606435200000,4.336,4.599,3.904,4.124,1506551.425,2020-11-27
1606521600000,4.127,4.448,4.0,4.264,840083.318,2020-11-28
1606608000000,4.264,4.572,4.119,4.551,839995.997,2020-11-29
1606694400000,4.562,4.95,4.562,4.74,1324477.791,2020-11-30
1606780800000,4.753,5.268,4.531,4.744,1470103.458,2020-12-01
1606867200000,4.745,5.483,4.679,5.265,1403573.073,2020-12-02
1606953600000,5.266,5.3,5.013,5.238,837082.054,2020-12-03
1607040000000,5.238,5.359,4.828,4.951,1621681.588,2020-12-04
1607126400000,4.95,5.36,4.767,5.218,1388279.251,2020-12-05
1607212800000,5.214,5.379,4.941,5.152,882850.78,2020-12-06
1607299200000,5.153,5.345,5.025,5.2,858648.595,2020-12-07
1607385600000,5.2,5.493,4.534,4.671,2004257.704,2020-12-08
1607472000000,4.667,4.934,4.285,4.859,1811975.7,2020-12-09
1607558400000,4.854,4.879,4.448,4.623,846645.686,2020-12-10
1607644800000,4.631,4.666,4.126,4.348,811202.548,2020-12-11
1607731200000,4.354,4.636,4.337,4.458,544968.259,2020-12-12
1607817600000,4.467,4.79,4.388,4.751,423604.275,2020-12-13
1607904000000,4.748,5.442,4.6,5.25,1574445.217,2020-12-14
1607990400000,5.251,5.6,5.182,5.469,2380803.436,2020-12-15
1608076800000,5.469,5.476,4.927,5.276,1642088.375,2020-12-16
1608163200000,5.271,5.6,5.046,5.294,2068099.622,2020-12-17
1608249600000,5.297,6.617,5.16,6.12,3902427.715,2020-12-18
1608336000000,6.117,6.511,5.92,6.125,1801769.845,2020-12-19
1608422400000,6.125,6.385,5.78,5.963,1076828.278,2020-12-20
1608508800000,5.957,6.424,5.638,6.136,1494943.465,2020-12-21
1608595200000,6.14,7.74,5.704,7.202,5217299.47,2020-12-22
1608681600000,7.203,8.48,6.288,7.115,6856208.172,2020-12-23
1608768000000,7.11,7.788,6.581,7.48,2788244.596,2020-12-24
1608854400000,7.479,7.98,7.028,7.341,1909442.039,2020-12-25
1608940800000,7.35,8.771,7.283,8.022,4044716.877,2020-12-26
1609027200000,8.026,8.525,7.34,8.069,3098202.958,2020-12-27
1609113600000,8.058,8.462,7.82,8.0,2152979.038,2020-12-28
1609200000000,7.999,8.157,7.35,7.786,1509588.086,2020-12-29
1609286400000,7.78,7.96,7.235,7.327,1276681.207,2020-12-30
1609372800000,7.327,7.847,7.042,7.23,1306081.625,2020-12-31
1609459200000,7.23,8.556,7.154,8.308,1946257.453,2021-01-01
1609545600000,8.314,8.618,7.981,8.192,1196084.717,2021-01-02
1609632000000,8.192,9.625,7.997,9.539,1854105.144,2021-01-03
1609718400000,9.527,11.498,8.4,11.492,2839117.506,2021-01-04
1609804800000,11.463,13.38,10.458,12.381,3127299.871,2021-01-05
1609891200000,12.402,13.3,11.461,12.129,1899386.033,2021-01-06
1609977600000,12.112,13.2,11.1,11.579,1700489.266,2021-01-07
1610064000000,11.594,12.885,9.8,11.804,2008319.15,2021-01-08
1610150400000,11.805,13.887,11.05,13.1,1838219.039,2021-01-09
1610236800000,13.1,14.8,12.197,14.116,2781331.399,2021-01-10
1610323200000,14.114,14.186,10.408,12.891,3106938.599,2021-01-11
1610409600000,12.889,16.0,12.17,14.888,4284927.462,2021-01-12
1610496000000,14.881,16.505,13.8,15.501,3961223.576,2021-01-13
1610582400000,15.51,16.0,14.046,14.711,2397410.925,2021-01-14
1610668800000,14.683,15.538,13.15,15.127,2527268.075,2021-01-15
1610755200000,15.128,17.15,14.933,15.56,2626903.821,2021-01-16
1610841600000,15.541,16.35,14.415,15.68,1580400.803,2021-01-17
1610928000000,15.676,15.758,14.85,15.582,1052776.609,2021-01-18
1611014400000,15.582,16.79,15.15,15.151,1611731.283,2021-01-19
1611100800000,15.15,15.8,13.764,15.734,1188542.663,2021-01-20
1611187200000,15.718,15.8,11.611,12.337,2010819.414,2021-01-21
1611273600000,12.317,15.13,11.263,14.228,1860102.538,2021-01-22
1611360000000,14.207,15.496,13.933,14.608,1133571.905,2021-01-23
1611446400000,14.608,17.835,14.439,17.5,2674480.342,2021-01-24
1611532800000,17.484,18.25,15.393,15.47,2284257.058,2021-01-25
1611619200000,15.47,17.23,14.766,16.875,1646278.378,2021-01-26
1611705600000,16.86,17.428,14.717,15.265,2302171.862,2021-01-27
1611792000000,15.266,17.961,14.849,16.892,1962708.346,2021-01-28
1611878400000,16.898,17.492,16.01,17.025,1851639.753,2021-01-29
1611964800000,17.024,18.66,16.389,17.859,1650599.08,2021-01-30
1612051200000,17.87,19.6,17.067,17.194,2041854.706,2021-01-31
1612137600000,17.197,17.902,16.817,17.54,1307827.299,2021-02-01
1612224000000,17.54,17.571,16.379,17.032,1520394.17,2021-02-02
1612310400000,17.057,18.002,16.81,17.129,1406055.769,2021-02-03
1612396800000,17.129,21.169,16.49,19.644,4055004.007,2021-02-04
1612483200000,19.661,23.687,19.518,23.61,3255593.738,2021-02-05
1612569600000,23.615,24.246,19.637,21.07,2472839.0,2021-02-06
1612656000000,21.027,21.491,17.888,20.051,1697833.474,2021-02-07
1612742400000,20.09,22.37,19.523,21.331,2053697.143,2021-02-08
1612828800000,21.32,27.4,20.8,24.618,3004137.585,2021-02-09
1612915200000,24.618,27.7,23.032,25.078,3048192.933,2021-02-10
1613001600000,25.084,26.825,24.35,26.086,1807251.363,2021-02-11
1613088000000,26.129,28.245,25.25,27.132,1673797.937,2021-02-12
1613174400000,27.142,28.1,24.621,26.353,1522103.949,2021-02-13
